track_id,name,artist_id,artist_name,album,popularity,source,which,in_catalog,genres_join
7GBTsnaYYkvLoF5qtU1bxj,Numb - Techno,2BSpar5fkultsfTEgtRBpP,Hubbe,Numb (Techno),34,seed_top,history,False,
3WUSRYzAjW2MkpVsW8ZjW1,Pullin Up (Extended),3hnbNJJnN1jFk3MmBvcn9Z,Soda,Pullin Up (Extended),34,seed_top,history,False,g-house
0ZYMuqdogj6F6pAOMU3NRy,Toccata and Fugue in D Minor,0418xhpb0MLi9OfTGiTRas,FRHAD,Toccata and Fugue in D Minor,34,seed_top,history,False,g-house
29tcHlSayj22bTKUsqjfuY,Vibration,0418xhpb0MLi9OfTGiTRas,FRHAD,Vibration,34,seed_top,history,False,g-house
5g1UV9H2Vh1mRUQn7WBTah,I'm Back,3hnbNJJnN1jFk3MmBvcn9Z,Soda,I'm Back,33,seed_top,history,False,g-house
3euxLm11bDqxXc4g43KVSq,Rock Star,0418xhpb0MLi9OfTGiTRas,FRHAD,Rock Star,33,seed_top,history,False,g-house
116lB7ovYdbbVMTBdfHUVk,Tokyo Drift,1MgtqpwXzX3m8BkVWr5RQ5,LIMIC,Tokyo Drift,32,seed_top,history,False,
4cjhH52zs9CSaeiHTWgaoY,Heart on Fire,3hnbNJJnN1jFk3MmBvcn9Z,Soda,Heart on Fire,31,seed_top,history,False,g-house
1Rvq098ja7trBhh6pn7aHF,King of My Castle,3YGQcI92cOYtFdYLHhTpax,Xd,King of My Castle,31,seed_top,history,False,slap house
5A4mQqpZ3buVHFQAcbiygc,Astronaut in the Ocean,5Unw6xhYZ2FmUZIY6iCAbY,SI US PLAU,Astronaut in the Ocean,19,seed_top,history,False,slap house
6tXnL1hnAFI4sPIHDQkYhQ,Smack That,4sEcx9wubbX4TLdaCQTqGI,Malik,Smack That,19,seed_top,history,False,
2ArKaq2H8efuNzSOYcgZ32,Who's That Chick?,5EXlM2WBPw4fwTnDNazXxv,JKRS,Who's That Chick?,18,seed_top,history,False,"hypertechno, techno"
61jpF2w00fcPtRw9XbKxKS,Prrrum,0dm0kGiPyhp2mps5nutUUa,Fella,Prrrum,14,seed_top,history,False,
383J5SDxNijGGXrpVP3dhd,Down,25rSPSJSC2g85FSgBuV8SE,DV7,Down,10,seed_top,history,False,slap house
4SnuG111QPmgwRmlwhJ4Mg,Hold Me,03y4yOxhLk6MDJ1bV424uO,Lavern,Hold Me,71,seed_top,prefs,False,stutter house
6jTbKd7VnhCt5qxyWTdak7,Karibu,2VhoJf6VdIoPnifnThy9UV,WITH U,Karibu,69,seed_top,prefs,False,afro house
7paRyIC5aRpiiYkiBnT39O,Higher Power,2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,Higher Power,64,seed_top,prefs,False,
66BDXKHZOvvz4CwZovEMwH,Sunshine,03y4yOxhLk6MDJ1bV424uO,Lavern,Sunshine,64,seed_top,prefs,False,stutter house
1unlWf6dqVy71XhAdlMjH0,Nobody Knows - Belters Only Remix,4HJnsUVBubdKJ2aV0sr48u,Ape Drums,Nobody Knows (Belters Only Remix),64,seed_top,prefs,False,moombahton
5XIAnKNsdUim7GQsekL3uE,Pięknie płyniesz,6EB8VE9f7Ut6NOgviN6gDW,Dawid Podsiadło,Pięknie płyniesz,62,seed_top,prefs,False,
107Zf6E46a1ipHa3x5Nqlr,samoloty,6EB8VE9f7Ut6NOgviN6gDW,Dawid Podsiadło,tylko haj.,61,seed_top,prefs,False,
64F1Z2LAsf04V346A75hi1,"I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)",6PE9YfygcKpsaMOqiBx6JG,Męskie Granie Orkiestra,"I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)",61,seed_top,prefs,False,
34xhlfh5RUmx0AFf8dek9f,Souvenir,292jMVlKq180yzi8WRaVU6,7ari,101,61,seed_top,prefs,False,
0nC5DUHon23N4G3FRY48Ni,How Deep Is Your Love,2VhoJf6VdIoPnifnThy9UV,WITH U,How Deep Is Your Love,61,seed_top,prefs,False,afro house
45c9wiUAAYRgbAnBcfPEsk,In My Mind,03y4yOxhLk6MDJ1bV424uO,Lavern,In My Mind,59,seed_top,prefs,False,stutter house
4Wx54faWzcpENP6oEST3Fv,KOUDOUROU,2g8Pu5gVtDpkYGsP3RLepJ,Draganov,KOUDOUROU X BON COURAGE,59,seed_top,prefs,False,
6g254BzxAtBlpi9wzDcAJ9,nadprzestrzenie,6EB8VE9f7Ut6NOgviN6gDW,Dawid Podsiadło,tylko haj.,58,seed_top,prefs,False,
3NWRapFZSlpHXO38LW21rw,La leçon particulière,03y4yOxhLk6MDJ1bV424uO,Lavern,La leçon particulière,58,seed_top,prefs,False,stutter house
2aahxM4jGWFWgMzmHpelAR,Caught in a Dream,6OFZSmtxDquMkX2XZJSN6y,PALASTIC,Caught in a Dream,58,seed_top,prefs,False,deep house
7jNnW7e1prkMtR7EKsTElp,Price,6OFZSmtxDquMkX2XZJSN6y,PALASTIC,Price,58,seed_top,prefs,False,deep house
3JhpsFR2yZhprzqXuzwGqj,In Love Today,6mDl7lQiLxT0iQ8LYhAlWy,Zerb,In Love Today,58,seed_top,prefs,False,afro house
5lebcpNhPX5sAPUjKyyYgY,All I Want Is You,03y4yOxhLk6MDJ1bV424uO,Lavern,All I Want Is You,57,seed_top,prefs,False,stutter house
5CTWar6EERdWazrPD2giMp,Heaven,6OFZSmtxDquMkX2XZJSN6y,PALASTIC,Heaven,56,seed_top,prefs,False,deep house
7iIzan4uOlOeXZ8iE3b91F,Wildfire,6OFZSmtxDquMkX2XZJSN6y,PALASTIC,Wildfire,56,seed_top,prefs,False,deep house
6pv5Ajnc2fp12ilnkD5Xrr,Like Dat - Ape Drums Remix,0iuUN6j3vMee2NUjkFJDF3,Danidane,Like Dat (Ape Drums Remix),56,seed_top,prefs,False,
