track_id,name,artist_id,artist_name,album,popularity,source
5mOVyrTCACd2sHKXEFoRp7,Dubai,3YGQcI92cOYtFdYLHhTpax,Xd,Dubai,40,seed_top
7lGIt6LxlQaG39BRjl03EB,seaside_demo,3YGQcI92cOYtFdYLHhTpax,Xd,seaside_demo,40,seed_top
0w3ty7Z0P5iRVhDeVGyP5u,Club Bizarre,48aqzGnSFeO0t4FKTGmq72,Kastuvas,Club Bizarre,39,seed_top
7rV0bkkOVM0qpVGDQngPk6,The Way I Are,2C53tNkcdWjM4R3xHVxBvS,KERTSCHER,The Way I Are,39,seed_top
07zmhICJJYOJkdExLcZWNH,L'Amour Toujours,48aqzGnSFeO0t4FKTGmq72,Kastuvas,L'Amour Toujours,39,seed_top
3t94dqPaa0Raxr1grbU2Sy,M5,3hnbNJJnN1jFk3MmBvcn9Z,Soda,M5,37,seed_top
4y3HR3nSM1v6rANgsjLOqT,Sexy Bitch,6Cubdky3Aaaaxc3sn5C32N,Kaan Pars,Sexy Bitch,36,seed_top
3a4PtzMuxul2m82VtU20ij,Leave the Lights On,04xlDQ2RhoOYISsIcP7ia4,Twin,Leave the Lights On,35,seed_top
7GBTsnaYYkvLoF5qtU1bxj,Numb - Techno,2BSpar5fkultsfTEgtRBpP,Hubbe,Numb (Techno),34,seed_top
3WUSRYzAjW2MkpVsW8ZjW1,Pullin Up (Extended),3hnbNJJnN1jFk3MmBvcn9Z,Soda,Pullin Up (Extended),34,seed_top
0ZYMuqdogj6F6pAOMU3NRy,Toccata and Fugue in D Minor,0418xhpb0MLi9OfTGiTRas,FRHAD,Toccata and Fugue in D Minor,34,seed_top
29tcHlSayj22bTKUsqjfuY,Vibration,0418xhpb0MLi9OfTGiTRas,FRHAD,Vibration,34,seed_top
5g1UV9H2Vh1mRUQn7WBTah,I'm Back,3hnbNJJnN1jFk3MmBvcn9Z,Soda,I'm Back,33,seed_top
3euxLm11bDqxXc4g43KVSq,Rock Star,0418xhpb0MLi9OfTGiTRas,FRHAD,Rock Star,33,seed_top
116lB7ovYdbbVMTBdfHUVk,Tokyo Drift,1MgtqpwXzX3m8BkVWr5RQ5,LIMIC,Tokyo Drift,32,seed_top
4cjhH52zs9CSaeiHTWgaoY,Heart on Fire,3hnbNJJnN1jFk3MmBvcn9Z,Soda,Heart on Fire,31,seed_top
1Rvq098ja7trBhh6pn7aHF,King of My Castle,3YGQcI92cOYtFdYLHhTpax,Xd,King of My Castle,31,seed_top
5A4mQqpZ3buVHFQAcbiygc,Astronaut in the Ocean,5Unw6xhYZ2FmUZIY6iCAbY,SI US PLAU,Astronaut in the Ocean,19,seed_top
6tXnL1hnAFI4sPIHDQkYhQ,Smack That,4sEcx9wubbX4TLdaCQTqGI,Malik,Smack That,19,seed_top
2ArKaq2H8efuNzSOYcgZ32,Who's That Chick?,5EXlM2WBPw4fwTnDNazXxv,JKRS,Who's That Chick?,18,seed_top
61jpF2w00fcPtRw9XbKxKS,Prrrum,0dm0kGiPyhp2mps5nutUUa,Fella,Prrrum,14,seed_top
383J5SDxNijGGXrpVP3dhd,Down,25rSPSJSC2g85FSgBuV8SE,DV7,Down,10,seed_top
