track_id,name,artist_id,artist_name,album,popularity,played_at
1m7JH2anPjNzUDmusvbOyL,Save Me Now,5ReEaUoPEJMxR0hefo2QZ4,FLX,Save Me Now,24,2025-08-19T10:39:00.980Z
7Dwk4YmBNSqOfRAN7MjQZK,set me free,6KJPsGYJN54GllYOKTleaj,Aaron Hibell,set me free,67,2025-08-19T10:35:55.243Z
1xlypxpI8KiPQxahsIWqWV,Leave The Light On,14byx2nRysWNtgauCXscKT,PLS&TY,Leave The Light On,39,2025-08-19T10:32:09.785Z
7Dh4j5JltkdH159xm77JiF,Crazy,3OgXv5i2hFt93vxZ8iVLcc,Myles Lloyd,Crazy,73,2025-08-19T10:28:03.952Z
08BkQRJEvv84rRqvemudhS,Outside,2QYmb5VU9IPtOC7gs9esJB,BASTL,Outside,18,2025-08-19T10:25:19.875Z
6SpS3512xzHKapz4plRuZW,Illuminate,6KGv020mJkIjQH5YPDSBcZ,Astrality,Illuminate,61,2025-08-19T10:23:12.747Z
0gFU6WpY95i8uuoPlGNIsP,Be Enough,2AR90aUsAcUfWSUtBCktSP,HNE,Be Enough,53,2025-08-19T10:19:58.368Z
4ml1Eq4wmcdfN0Q6pNEly7,TRIPPIN,2CpLIMBoE2ZzyY3ZBCRZ7j,BUNT.,TRIPPIN,70,2025-08-19T10:17:43.788Z
1kIXISa45Mf6QNMRM9GGRX,Open Your Eyes,5ReEaUoPEJMxR0hefo2QZ4,FLX,Open Your Eyes,38,2025-08-19T10:14:16.941Z
7d6bWTHr7EZgygynnxAKCA,Electric Feel,5344K3N7rx7kw1HjO8psuq,James Carter,Electric Feel,55,2025-08-19T10:11:14.033Z
5cz0EtjFVIl81TNNvljFeK,Peace In Silence,2CpLIMBoE2ZzyY3ZBCRZ7j,BUNT.,Levi Don't Do It,55,2025-08-19T10:08:02.845Z
4madkqL1bB8rweDVBG8FvR,Let It Go,2aLLYZ0sdqweMEPFUyYIXJ,NOTSOBAD,Let It Go,71,2025-08-18T05:49:01.055Z
0gFU6WpY95i8uuoPlGNIsP,Be Enough,2AR90aUsAcUfWSUtBCktSP,HNE,Be Enough,53,2025-08-18T05:45:44.900Z
