track_id,name,artist_id,artist_name,album,popularity,time_range
6AJAzlq5ujQWCzzwpeGEZA,Wicked Game,0DdDnziut7wOo6cAYWVZC5,KREAM,Wicked Game,68,medium_term
6LiuMpZjyjjuXFP5Ljo9bv,We Groovin (with Jazzy),4admDxmnri5Zco0xYrJ0ji,Jamie Jones,We Groovin (with Jazzy),54,medium_term
6SpS3512xzHKapz4plRuZW,Illuminate,6KGv020mJkIjQH5YPDSBcZ,Astrality,Illuminate,61,medium_term
7d6bWTHr7EZgygynnxAKCA,Electric Feel,5344K3N7rx7kw1HjO8psuq,James Carter,Electric Feel,55,medium_term
0k94VnTgKqsqnlxj5HT4Wx,Shallow Water,2vf4pRsEY6LpL5tKmqWb64,Elderbrook,Another Touch,56,medium_term
0xaXwvcjq7aAKwMKe22Bw7,Focus (feat. CLOVES),7kNqXtgeIwFtelmRjWv205,John Summit,Focus (feat. CLOVES),68,medium_term
1GfJCWGLfdev016PSsrUO8,Make Me Feel,28ntgpEkMU9Zm7F3gLDMhZ,oskar med k,Make Me Feel,84,medium_term
1xlypxpI8KiPQxahsIWqWV,Leave The Light On,14byx2nRysWNtgauCXscKT,PLS&TY,Leave The Light On,39,medium_term
22u0wscY6rWbbr9M7Ezg4j,CAN'T FIND YOU,5oJvmyeWzyeahRtjup3Oys,AVAION,CAN'T FIND YOU,66,medium_term
2bsEQshjXVy8ZyVPkYDwWb,Symphony,5ReEaUoPEJMxR0hefo2QZ4,FLX,Symphony,31,medium_term
3VXJln5ZvlvzbsjJFhRhZE,Addicted (feat. TIMID.),4ME20XT9IP5JOpqoIGQ6Js,Naarly,Addicted (feat. TIMID.),77,medium_term
3xSeXxD1kT2DXyWBbDAIxB,What I Need,4ME20XT9IP5JOpqoIGQ6Js,Naarly,What I Need,50,medium_term
45uwWuhL7nNamSKw3DnpQl,Fever,4hheW577K2nAMAwDuTGAA4,heylucas,Fever,60,medium_term
4FWxm0Wiu9JE3vzbOAODqO,Thinking of You,4hheW577K2nAMAwDuTGAA4,heylucas,hey,43,medium_term
4OssNR8i2CZHzIBJDxRh2e,Sun Came Up,586uxXMyD5ObPuzjtrzO1Q,Sofi Tukker,WET TENNIS,52,medium_term
4PIdTFeeNnJ87nKOf1djuG,Want U,1WcwbtAnG5HWNbPPK84ued,Hayley May,Want U,55,medium_term
4scxvvNN8Dhm5y4p54QamD,Feel,5pW2lVGlbVSVWi9086Xjfu,Avi Snow,Feel,65,medium_term
56MET7XMqoUAsoC07pkkSB,Body,2mNOoqXYY177q7TtuqJL9q,Nathan C,Body,52,medium_term
5UJQwRl7vAj1EjxFRLZM7d,Follow The Feeling,42KUul1wLmOdQCEYf3MweS,Lonely in the Rain,Follow The Feeling,29,medium_term
5cz0EtjFVIl81TNNvljFeK,Peace In Silence,2CpLIMBoE2ZzyY3ZBCRZ7j,BUNT.,Levi Don't Do It,55,medium_term
64fXwFNr6wKQLAjFTYDvbe,Reverie,0lIiVp6FVbJR2utszYQhNf,INNERVERSE,Reverie,60,medium_term
1c8dLAWoGT6Tbnz7rhL2RD,BIBO,77aSuatWvKnuoF8OudmiQ4,Lithuania HQ,BIBO,24,long_term
5FLVwGJqw540QTCURj16v0,On the Low,2KcuDXfSU3CCEuC85IO8e6,Kiki,On the Low,5,long_term
1Hz52QFLvWrHcFKmqK9zUK,I Follow Rivers,25rSPSJSC2g85FSgBuV8SE,DV7,I Follow Rivers,15,long_term
3hyToFfZDE5mcfhPvqhGRU,Wicked Game,25rSPSJSC2g85FSgBuV8SE,DV7,Wicked Game,13,long_term
7IvpmHXFNL7fYobvMpGvnX,Written in the Stars,48aqzGnSFeO0t4FKTGmq72,Kastuvas,Written in the Stars,25,long_term
5jNotwV7xZw3jCvPZptJNm,Deep End,6w1Lc9aPSM2m4eGqDWoKkA,Noro,Deep End,46,long_term
1JxPbKUkGAwnNKimAc9mYS,Renegade Master,48aqzGnSFeO0t4FKTGmq72,Kastuvas,Renegade Master,11,long_term
0z8OToL5Ud5pq9vyIadwC0,Squid Game,77aSuatWvKnuoF8OudmiQ4,Lithuania HQ,Squid Game,27,long_term
3Vbj8a0tvPmbxf2UYKAGhR,Get Ur Freak On,2KcuDXfSU3CCEuC85IO8e6,Kiki,Get Ur Freak On,6,long_term
4gIB2eDx2CcxifqSPnwOxA,Alors On Danse,25rSPSJSC2g85FSgBuV8SE,DV7,Alors on Danse,15,long_term
6rGFcgbZ34MSCR36bTdcDG,Blue (Da Ba Dee),25rSPSJSC2g85FSgBuV8SE,DV7,Blue (Da Ba Dee),16,long_term
3vocKdbdG20ZuMGWCoedAu,All the Things She Said,2C53tNkcdWjM4R3xHVxBvS,KERTSCHER,All the Things She Said,25,long_term
5BYDfky7BQDk0I6S5tFubo,Controlla,2mNRczRlW0G5nkWtpMm1aM,Yarimov,Controlla,37,long_term
5ISWXKr16fHpQSFZQBpWSv,Summertime Sadness,3YGQcI92cOYtFdYLHhTpax,Xd,Summertime Sadness,27,long_term
3wNwk7rRqkOENQgwDHO7Gv,Falling Down,3xksDFio6oCdauPR6UE4Aj,Danell Arma,Falling Down,43,long_term
4lnC2Tgphz8OTtk3jtRlRO,Where Did You Go,6jo2wtsxA05csbowWjnKg0,Gadyca,Where Did You Go,14,long_term
1AWrBcGj1DsJId1TewhRZx,Intoxicated,2KcuDXfSU3CCEuC85IO8e6,Kiki,Intoxicated,11,long_term
2vqSgXAMAJ9yHlP0Yk4Lob,Maserati,2KcuDXfSU3CCEuC85IO8e6,Kiki,Maserati,11,long_term
3d7ImpmiCfxyQkvrrMXc69,All Night,4xq4vuvsEgo8UzaAn8HlIY,WONGA,All Night,28,long_term
4QGOvsoKtZFt1OV3F8WE2u,Adios Amigos,78dUeeMpavPUMBv0kGCape,Beatmount,Adios Amigos,37,long_term
45Xx8ugh2uRTy4wahb7ZzC,G.M.S.L.B,0418xhpb0MLi9OfTGiTRas,FRHAD,G.M.S.L.B,38,long_term
6AH6XwnOtuFs4q9BHqk2L1,Ghosts in My House,3YGQcI92cOYtFdYLHhTpax,Xd,Ghosts in My House,24,long_term
7F7G8FuCtggmPvs51E9fmN,Move It,0QlnfOIWscqfuWTcci7IwM,POLTERGST,Move It,57,long_term
2b3XL8dAXeNtXLuNgAsXG1,The Hills,3xksDFio6oCdauPR6UE4Aj,Danell Arma,The Hills,21,long_term
3BHe1jnaW3hocrfMqytTP2,Sztoj Pa Moru,33cjmfhkyHbulkQwkuxe3i,BROHM,Sztoj Pa Moru,40,long_term
3Ylrfg9Mvex6fbXIw1XtDo,Moment,48aqzGnSFeO0t4FKTGmq72,Kastuvas,Moment,14,long_term
5gmI9eQNLLwXf5v7WbWGZQ,Nero,3hnbNJJnN1jFk3MmBvcn9Z,Soda,Nero,27,long_term
6cEBMhIuiwb4rlMpshcL1L,Would I Lie to You,05Zz1bJC5yo1hhKBXJgiFm,Froro,Would I Lie to You,35,long_term
7CDnRzNeuZdOx0hURTimsy,I Need,25rSPSJSC2g85FSgBuV8SE,DV7,I Need,10,long_term
6FZmXoVNo4halbdTsN2ou0,Hot,1ZZdKHHFrEYmBD8M8yzjrq,AIZZO,Hot,31,long_term
3II8rS9b8yRj1SQv2MXill,Supersonic,2mNRczRlW0G5nkWtpMm1aM,Yarimov,Supersonic,35,long_term
7vFoGRf319JEkR2GOOxiMN,Sleep Before You,6jo2wtsxA05csbowWjnKg0,Gadyca,Sleep Before You,20,long_term
16RNr3flj8kk6Mc8DOmXjU,Looking For You,7AcpHojwmE3bQlZYQ9UEjH,INDI,Looking for You,15,long_term
6hYBhm5WsskGsWRmk3AZRX,Frozen,6jo2wtsxA05csbowWjnKg0,Gadyca,Frozen,9,long_term
3Q28gtF1SwJxfYTYpHX89i,Tiimmy Turner,3xksDFio6oCdauPR6UE4Aj,Danell Arma,Tiimmy Turner,31,long_term
4Zf5TPvbOOhEmqbMxG0S3h,Can't Hold Us,3YGQcI92cOYtFdYLHhTpax,Xd,Can't Hold Us,29,long_term
1M238SIWrq4QnqdzQBuGUk,Milkshake,48aqzGnSFeO0t4FKTGmq72,Kastuvas,Milkshake,31,long_term
04LvU1ZC84U83DTeuVDIUn,I Need a Doctor,48aqzGnSFeO0t4FKTGmq72,Kastuvas,I Need a Doctor,30,long_term
1C07tN37zkbkPIGGEvDx5Z,Shooting Stars,01xEQf6JyCI4cqp2Ld86k9,Guapa,Shooting Stars,16,long_term
32d8mojTfkdIAVLOtRhwqR,Loud,3hnbNJJnN1jFk3MmBvcn9Z,Soda,Loud,15,long_term
3MTdBffHICa8PXYl8RbycQ,Cinema,01xEQf6JyCI4cqp2Ld86k9,Guapa,Cinema,10,long_term
4nshgg7DlFvnPi8xIH6biy,Barabam,0418xhpb0MLi9OfTGiTRas,FRHAD,Barabam,32,long_term
4sVvsZK6laov1sdv3zgCn8,Smack That,2SFeAQCwEOviqFqZ2cjDCV,HVSH,Smack That,32,long_term
5wVoEH6sqf1QWhtf1izdLK,PLA¥A BO¥,3U9tMQRWU2vzRYYhIOzJNZ,OSVISS,PLA¥A BO¥,28,long_term
1p6OXN2U4gJLVaqZKfPKPe,I Like Me Better,48aqzGnSFeO0t4FKTGmq72,Kastuvas,I Like Me Better,10,long_term
2MZYijuiDFYAC9ubi6NXgZ,Nights,6HOWJLi8n9Q29NB5F4Bhmr,Atilla Khan,Back & Forth,38,long_term
5A4A2Zx2gshJOno07BQQ8T,Lalaley,0418xhpb0MLi9OfTGiTRas,FRHAD,Lalaley,32,long_term
7rv7aX7n5vYXMAfGYQRzfq,Fume,7xX4N9KmGItETHIF5xp9z7,Maxun,Fume,36,long_term
3vgj6FSIzWiZim9IByN1bK,Stuck In My Heart,2SFeAQCwEOviqFqZ2cjDCV,HVSH,Stuck In My Heart,0,long_term
3BLa1rXmznKcT8Vu7ACijR,Skkrt,3hnbNJJnN1jFk3MmBvcn9Z,Soda,Skkrt,19,long_term
